testId,1,2,3,timeSpent,uid
73750,,1,18,18,8d22823969b94bd4a12a
73858,,2,10,17,5a38e40dbb9b9ee12bcb
73865,2,,53,27,70ea9eba9da1e3fed0d3
73883,2,,25,15,e7f27c8d70fdec022c8f
73915,,2,0,11,57e17698456bbb61abdb
73954,1,,100,18,45f9f2677959c180d286
73987,,1,25,16,ae526ff58eb4258560f0
74331,2,,23,17,903f4e3dc72bb5bb2c93
74365,,1,54,39,982eaf57e081cea1baa4
74372,,1,54,6,982eaf57e081cea1baa4
74395,,1,29,13,2e2a1f5ada2a89415980
74425,,1,35,33,7bd917a4a9b5a2a0873a
74470,1,,100,10,250707bdc9a49d328203
74520,,2,4,13,095398b296f432eeb09e
74588,1,,100,13,c4db79152ce0e710b9bd
74691,1,,25,9,7a5046c7049ca6e1990e
74736,2,,40,14,257fdfbd6a184c719214
74776,,2,10,55,92085b03d5760f107e9a
74931,,1,45,108,600a847aa7df3f80d242
75073,2,,54,34,d8e5c0f06e566b1a8a09
75119,2,,45,18,aa5edaf8c9e3286ef269
75124,1,,124,26,aa5edaf8c9e3286ef269
75146,2,,30,18,791a742e553ba220504e
75158,,1,16,33,ddbb4623eab67905b338
75184,2,,15,40,df8bbd50eb541e40c5a1
75281,,1,36,37,0d51187694788a75e24b
75283,2,,10,36,4400968fe917a17e9adf
75319,1,,100,21,0f4a3af9b29781e480a7
75370,,,37,26,3793ac04dd7c95a048e4
75393,,2,11,18,dd6051586facd6feb653
75610,,2,8,19,cec06aad7059d3554e4a
75660,,2,10,17,b59e901f0b18d16fb680
75750,,2,5,12,8b4a232bc29b33689273
75770,,1,50,32,46c9647a0d12a677379d
75883,2,,33,21,65c7352aa286638b380e
75909,,2,10,9,5208cc0535cdc11683bd
75938,2,,30,19,830c0d50e584312076af
75987,2,,12,22,001e224a847750ec3d3b
76021,,1,57,10,4bc9da834318df9bbfe2
76020,1,,2000000,42,aa1580df27a34c9c67ff
76054,,1,55,12,46c9647a0d12a677379d
76055,2,,3,28,92952adf02e2ae28bf25
76088,2,,30,22,698464d5e720ecc6f7cb
76125,,2,9,18,ec823742e5032813d8e4
76228,2,,54,16,2890298ec53ff6ddab1a
76307,2,,20,36,ff9c43e64a9db8edff8f
76299,1,,38,32,b7c263c83e668cda3882
76317,2,,50,25,7c8bdbe267c267e97022
76366,2,,50,22,af95a6f1fdb1d5ea2e47
76367,,1,18,10,23416ba818ea0382d9cb
76402,2,,35,15,0f21ee310c0ec4b7a801
76418,,1,30,35,9bae83ec357d2b8a4f5c
76488,,2,2,9,62818b3baff7075e5c62
76501,,2,1,6,62818b3baff7075e5c62
76521,2,,15,62,3fee5e414ac6db7ed7ac
