testId,1,2,3,timeSpent,uid
88018,1,,150,16,b18dfd86956b4ed925e8
88193,,2,999,19,991bc0da362e0d7e5bfa
88201,,1,2000,10,2866635bae5f52ac69ee
88236,,2,400,30,62e00bede96cd71f1afd
88267,1,,300,14,7846aca7245c1cb1b891
88283,,1,1500,34,ea7f949a6b3ac9676e7e
88324,,1,1800,30,5f6a17ad4a50647dee44
88342,1,,700,27,c0164d1f255d2d42fb6c
88388,,2,800,12,babe4bfcd7f162b4262c
88464,2,,72,22,8e3d50fb71a2249f361d
88510,1,,112,16,91f4795c84001507c96d
88536,1,,85.1,12,255e35cc514299dd3211
88573,1,,200,12,f49e786c2a7651bb90bc
88619,,1,1700,17,80508c33173184d00f2b
88644,,2,900,25,8e3d50fb71a2249f361d
88675,1,,150,28,227503c6a70626eb5c8c
88868,1,,120,26,82b8ab009b9c36c588c7
88932,1,,160,78,8aaee28c4968ec09d98d
88965,,2,600,55,2a289b54e6b2398df4e4
89127,1,,250,16,5c387d2992f60f1d180a
89193,,2,800,47,6a02739ee1ad61437c4e
89241,,2,700,62,b3737721710f2a55ef56
89433,,2,150,13,e034633e1dbcc7d4102c
89512,,1,2000,10,ebb29965aad80a5bdc2b
89516,,1,2000,24,518cce37a2cf1ee9d629
89540,1,,110,21,f1c49e7f054189e99e77
89542,1,,90,18,518cce37a2cf1ee9d629
89700,1,,326,22,cb14bb1f3b0f262a9ba5
89885,,2,500,27,9c29358d2348d2fd8d10
89956,1,,90,17,1a575954af377cbdce78
90242,1,,,10,570308a2bdd9421c3afb
90297,,1,1001,43,d6a4521a3ad80a5e03dd
90361,,2,500,9,22b6a8f4b8480bf535fd
90409,,1,2000,17,eb794c3c253277196d55
90444,1,,100,36,facdc78b7c8defc9cfed
90490,,1,1200,14,1a575954af377cbdce78
76418,,,,3,9bae83ec357d2b8a4f5c
76450,,,,5,a1c06b380c863fbe996a
90665,1,,200,14,77756ea4186dd08f4d9c
90678,1,,400,12,a4449af1f98f0b4e0b74
90688,,2,752,24,70725b9de99117c87316
90714,1,,100,14,dbb80f895699863fd37d
90727,,2,250,13,e034633e1dbcc7d4102c
90733,,2,,13,880410e5e5472a37795a
90800,1,,200,13,b65fbd1d4f7a69cc20be
90864,,2,200,18,0d5fd29bf27f40459dc8
90886,,2,300,56,34d30988e565a32f49ea
91083,1,,120,10,39d98864ced2c5bf87c6
91159,,1,1450,11,118d41dfc68b1cc209ee
91179,1,,87,13,3fc65081536cb18fc932
91226,1,,400,20,a27fe7c72ab8ca271a1a
91336,,1,1400,34,104f229b81b345389cb5
91333,1,,900,45,10fdbd7277dc95d14cbf
91363,1,,90,29,05b38fe1427b350bc758
91378,,2,350,20,bad7ab195649abb00040
91386,,2,800,15,6bc77ca4018975e9ec09
76811,1,,100,13,3ec534acfcd92bc6c12e
91519,1,,500,44,d815361c5f7ac1cd8ecd
91563,1,,125,15,30d1b7320a2c7cd7e140
91634,1,,300,53,42f3018ddffcf4f12f93
91658,1,,250,25,39e05bd17adcbc6c38ba
91991,,2,999,16,41cc486133beebb0e3b7
92045,1,,100,13,3bdd3bd92e778a1d7359
92206,,2,800,21,b2966addb1910400da1c
92234,,2,800,46,a61c8c7efbbf31ec28f7
92283,,,380,21,fafc7fce16d7eadf1f35
92432,1,,700,14,eb8161a2ee33ebdfddac
80138,,,,10,955814bc3b50bebc57b9
80619,,,,10,e61b901f67fb5ad3720f
92516,,2,350,19,309c40c333d18730d4be
92537,1,,300,30,a2b48697fe822aafb39a
92574,,1,1500,21,534dbea4c8c2e5346150
92582,,1,500,10,a06ae2c9001bad16f8ae
92594,,2,300,18,64a8df9c0933b6f66315
83010,,,,1,0ae59414803d83c6fb1f
92628,1,,100,16,fb7a9271948e118df91e
92898,,1,110,16,b002a1d60b034b68e824
92906,,2,100,34,77bb67e9401f2d998930
85777,,,,6,35e70a98504cd9711caf
85121,,,,44347,927c1877af44b0218ac3
85859,,,,19,5ee8a7b3467b0bab5eef
86885,,,,34,c2d4df7d879b3445aca5
93164,,2,300,12,7c6f7226a36118c1386f
87296,,2,,85,a4bbf04397ebeda101b1
93328,,2,437,20,7819c62745aaa836fd01
88393,,,,2,babe4bfcd7f162b4262c
88776,,,,2,38e1e7d8d7176e026298
93485,,1,1530,48,1a7e8d4f0eef8153441d
90408,,,,2,50b2b2382bc59e25fa7e
93765,2,,,38,c1728d3f202a432c6622
94143,,2,300,87,c1ac0ed215b6fa467e5d
92880,,,,10,7bcdf83a6a099d838217
94273,,2,500,28,828373f6aa756eade306
93228,,,,11,ccb39571b470ba151f89
94587,1,,100,13,238d8f63c5ee484e098e
94616,,1,2000,35,0275a1095be0205214cb
94764,,2,800,53,49b7be982327bc38e80c
94873,,2,300,33,c8a3b77d04b65a09a3cb
95022,1,,200,34,428cb0c0dadd4a0b157b
95163,1,,300,33,ad6b10507d6574d54d0f
95177,,1,1150,27,92a7ceb932412f19462a
95188,,1,1250,34,4b60afbbe662a0a48455
95280,1,,130,26,23e74d408cb30d79b1f5
94764,,,,7,49b7be982327bc38e80c
95128,1,,200,24,95214975d1e8a6946670
95289,,,,1,d7d865fc36fe5265f25a
95301,,,,17,e779cad814663e5ee3a2
