testId,1,2,timeSpent,uid
77407,1,,30,0c77107ed457ce58e270
77463,1,,51,58461bb326d4686e277a
77506,,2,14,a0d120402dd2f4043057
77561,,1,24,c5794340c46e1daff9ee
77596,,1,26,b6ef2d069b7616510f12
77606,1,,94,111b872ebede0068c320
77623,1,,14,14fc8690a5502ba387e2
77678,,1,38,955814bc3b50bebc57b9
77684,1,,24,2bb35ea2939bc63c0820
77691,2,,16,e1d4e0b9d6be2f01ba67
77714,,1,21,2bb35ea2939bc63c0820
77742,,2,6,e1d4e0b9d6be2f01ba67
77882,,2,6,7c8bdbe267c267e97022
77891,2,,92,95a78560a485003d8871
78035,1,,35,3871f6cebab7cfe1efa1
78315,2,,36,6f32f626f5df65839620
78335,,1,18,712d3415fc8dec7ad66f
78492,2,,25,64ee3492757e64b0ca28
78477,,2,47,047053a479df7a748ab2
78672,,2,30,daeb8a598a6537688002
78741,,1,32,712d3415fc8dec7ad66f
78819,1,,49,8cafbc172fb1ad1f8b91
78858,2,,68,5870f03a14ce993206b2
78885,,2,5,5870f03a14ce993206b2
78920,,2,354,fa391b4d9af496988eff
79040,2,,15,f9173cc1ec6300b65880
79081,,1,175,f456722d91f66e641751
79200,1,,55,b63008ea9c39ef7c7a0f
79485,1,,11,0c67c10dc767bbf2241d
79527,,2,19,82b1ad2fdde732d9a518
79521,2,,65,7705be00367b46c0ce1c
79691,,2,49,2c4890db386c704cd6b4
79919,2,,30,77a1aa3e4014b5c16165
80138,,1,10,955814bc3b50bebc57b9
80160,2,,18,07832632bb41452a59cb
80192,1,,7,5870f03a14ce993206b2
80182,1,,24,878f94c55f062dfc3127
80239,1,,41,1ead1e80e8bc293a8bf8
80260,,1,35,5ec2b303f7c0e48886cb
80318,,2,25,3ae9a0e4d745775598dd
80452,1,,10,6ba03fd26901dc198ffa
80441,,2,58,218f0bed8a8f7c7af4d4
80524,,1,53,464c043903703ec2049a
80609,2,,73,2acb9c4edc705b2081e6
80611,1,,39,9c455bcd89ddd633ff80
80672,,1,35,7a3a265840ec40983393
80915,1,,18,218f0bed8a8f7c7af4d4
80918,,2,40,0a4d12396aeb0b3e249e
81083,1,,37,5a86dd9596aab1c17ac3
81108,,2,14,8f79010285881a32b631
81138,1,,77,49670ea314a9a0e6579a
81200,2,,22,a00609f8a69083ca6c76
81375,,1,36,39aaf343486f06611a2f
81357,2,,21,899d7c9602f51f80eadc
81639,,1,114,922b97c22a4042616ef8
81802,2,,133,36e9b2042f2cf6f4d3e8
81861,,2,85,61a739bfa5100d02985e
81920,2,,7,36e9b2042f2cf6f4d3e8
82071,1,,30,47818b7fb11fbe92ce42
82120,1,,16,782a4b1b604b8691d383
82173,,2,63,6e04781b96c79313bb76
82255,,2,47,98b2541811d342871d4e
82550,,1,47,8f950808729e43e7dfa4
