testId,1,2,3,timeSpent,uid,ineligible
52763,1,,180,20,3eb3b0cc1439805d42a0,1
52813,,2,700,21,f0eb67a58cb7291ff129,0
52655,,,,0,9ccbf2436bd93bad5e3e,1
52902,,1,,24,5f84f1bbe3345ab60328,1
52911,2,,80,46,fc9f6f93f36b65c43ecd,0
52945,1,,95,34,0876dfd5fa24a4b76ca1,0
52954,1,,,21,96e51c835f6987eb7840,1
53004,1,,2000,27,8165cc7af631e690dea5,0
53019,,2,527,14,5310f62ffe11bd02e6ca,0
53030,1,,125,18,271a41f7e10b31402c38,0
53045,,2,,24,c07c1f248b68e0b17a23,1
52954,,,,3,96e51c835f6987eb7840,1
53129,1,,,16,b6f3c3face0e91b2f3e1,1
53208,,1,1200,26,8da23bd1dfbde2ae00f3,0
53220,,2,750,39,d1cae54bdbf84990b201,0
53262,1,,,3,abde056d60151bd2041c,1
53270,1,,100,39,ace5908970586cd20a20,0
53274,,2,400,65,3006b908246540dce667,0
53419,1,,300,24,f9876b70e948761ddd17,0
53425,,2,100,13,cc747281497b4f37639c,0
53497,,2,379,43,4d8d205a09f71a635942,0
53375,,,,1,034c3bebfb5f48258737,1
53452,,,,23,dee8947ea810df0f046e,1
53676,,2,750,25,c2328599ac0bf43fe710,0
53713,2,,75,13,82466f7fbd1134519370,0
53726,,2,400,177,178b3448a6dfd27ecb4a,0
53818,1,,200,23,d3302a768ce4d7465294,0
53583,,,,1,c322d65f422801b14b82,1
54142,,,,10,d7e70a47ab4d15fd788c,1
54160,,2,600,46,e8c3479220a0a9fdd573,0
64259,,,,32,a65e20b22ecf7d1ebf25,1
64278,1,,90,55,14ab158f4ee941599787,0
64302,2,,74,22,55c56f2b687f03c29698,0
65011,1,,379.1,214,c9f083c2acbc80ab8010,0
67554,1,,150,24,67eb5989fd9cd075ffb8,0
68752,,2,300,27,902a1d28325eddab18b9,0
68805,1,,200,101,d9146d8a963fa0752d38,0
68822,,2,375,29,18dfd52f4037b1b5d66b,0
68885,,2,234,18,fda93e109e1d40bdd918,0
68895,,2,200,12,d2aea6951cb22cf29a62,0
68945,2,,60,38,1aa4dee731364ffe2fc7,0
68982,1,,,17,0eaf04b3b21f64d5aaa4,1
69030,,2,250,23,014dcdc15468134853ae,0
68873,,,,2,24ca027a79e75372444c,1
69055,1,,200,14,4d329078460bda33c219,0
69097,1,,130,13,2286545f307f1e4308fd,0
69119,,2,30,28,13918e631e6663364c70,0
69120,,2,30,6,13918e631e6663364c70,1
69142,,1,1001,27,853ff99fd4ac2054509f,0
69141,,2,,14,ee10fd892d9478fe8b5b,1
69252,,2,600,21,5600815ecf159d0f09ba,0
69291,1,,100,22,ba66356ac29adfd811dc,0
69293,,2,50,24,257adaa37c5e68c26801,0
69303,1,,150,12,ef56d811a16bd797fe98,0
69183,,,,84,24ca027a79e75372444c,1
69436,,2,300,10,d3785a4fa04768c22428,0
69495,,2,200,17,d385b80af577b311c762,0
69536,,2,900,40,8a45b277145270c836d8,0
69540,1,,500,51,17559239ccbdf988fd5d,0
69573,1,,100,20,9fb52a87517e502c127b,0
69650,1,,250,10,d3785a4fa04768c22428,1
69680,,2,60,19,fdec3abb7f90d8628c2a,0
69458,,,,21,3baaaedfcdbb7fcab5a7,1
69968,1,,100,17,0cd5ed7c4e382f4b8003,0
69975,1,,200,42,fcf017e0b9bff568cbee,0
69979,,2,,41,61430a1f25d01e69b389,1
69993,1,,95,22,441ee08d26520e22c399,0
70095,1,,90,18,d9b72b38b48e196a229c,0
70241,,1,2500,22,070b420ef4ddde1471d2,0
70313,,2,400,29,29ffc44303b489bb2d52,0
70347,1,,200,47,fa5c7473398e9372358c,0
70425,1,,370,54,10b55376b98234599bad,0
70427,1,,370,35,10b55376b98234599bad,1
70459,,2,450,76,04abaa9c6b7bfb0e653b,0
70718,1,,130,12,76afa22b3a5fecf79671,0
70224,,,,65,277511e92c3b64f75086,1
70742,,,100,29,effa801f07878df16749,1
70826,1,,112,25,f0b04d19efa9fad058be,0
70839,1,,200,22,815c37a7505ccf794a23,0
70328,,,,26,21ee4cfaf7dcebebe725,1
70417,,,,8,075412a48aa6f8611c10,1
70427,,,,6,10b55376b98234599bad,1
70454,,,,1,4b267730caf9d19daf08,1
71065,2,,75,41,3743818193f565869cc7,0
71091,2,,30,41,47f528add2a1c3040fdf,0
71192,1,,100,36,df8e3627d7b0786578d5,0
71281,1,,247,21,a3e0e8d823a355e293ed,0
71345,,1,,33,ae2617f3baed7897e5f6,1
71364,1,,200,2428,2f61ae1e6558f9b09604,0
71411,,1,3000,14,2f61ae1e6558f9b09604,1
71459,1,,200,56,48c2f025984f9f00bfa2,0
71508,,1,1200,12,9683855b1fff332d00b6,0
71522,1,,86,88,d5ebd2c65f2d74519623,0
71551,1,,150,16,14efd0f765a4dec35dbb,0
71569,,2,380,46,989de5b51bda1d8aa8e6,0
71627,,1,1200,37,a231bfdcc1457e6e72bd,0
71710,,2,800,48,7c4b46959c143b9d6bad,0
71756,,1,1200,40,5cbd9766a3df7992a836,0
72167,,2,30,67,176319db4edab822e4ed,0
72268,,2,800,33,c8bc52a655ffef3103ad,0
72291,1,,150,24,3971cbdfc963897b6ae1,0
72393,1,,120,96,a5df34e7d8f7aaade7f3,0
72465,,2,275,146,1048177c38c500599d87,0
72466,1,,,81,347d65945c8780dfab20,1
72484,,1,1500,20,15173598cd18d9b3dcd2,0
73077,1,,90,14,1313b411c53d6e191c52,0
73085,,1,1000,32,97c2b60c582715bcb286,1
72866,,,,124,d81771a5d85c3122caa3,1
73457,,1,1200,60,7f7f063998c4a6079c30,0
73162,1,,280,103,81c85af5dc0d52469186,0
73698,1,,100,22,b26e36b6f077e90c65d9,0
73745,,2,200,19,77480f94862f4f3fd6ef,0
73750,,2,600,15,8d22823969b94bd4a12a,0
73865,,2,370,26,70ea9eba9da1e3fed0d3,0
73883,1,,165,13,e7f27c8d70fdec022c8f,0
73915,1,,90,24,57e17698456bbb61abdb,0
73954,,2,700,32,45f9f2677959c180d286,0
73987,,2,500,14,ae526ff58eb4258560f0,0
73625,1,,500,23,9343f3c1b69eb56c2cda,0
74244,,1,1500,33,2d1a36e5db79aa574d82,0
74331,,2,876,13,903f4e3dc72bb5bb2c93,0
74365,,2,380,57,982eaf57e081cea1baa4,0
74372,,2,380,10,982eaf57e081cea1baa4,1
74395,1,,86,17,2e2a1f5ada2a89415980,0
74425,,1,5000,15,7bd917a4a9b5a2a0873a,0
74470,,2,800,14,250707bdc9a49d328203,0
74520,1,,200,12,095398b296f432eeb09e,0
74588,,1,3000,14,c4db79152ce0e710b9bd,0
74691,1,,25,13,7a5046c7049ca6e1990e,1
74736,,1,5000,16,257fdfbd6a184c719214,0
74776,2,,80,51,92085b03d5760f107e9a,0
74931,1,,300,27,600a847aa7df3f80d242,0
75073,,1,1050,14,d8e5c0f06e566b1a8a09,0
75119,1,,96,14,aa5edaf8c9e3286ef269,0
75124,1,,97,13,aa5edaf8c9e3286ef269,1
