gameid,person,condition,avg_user_choices,avg_bot_choices,gender,age,device
85810,c7f125ad6b1fe7cf832f,testify,1.0,1.0,,,
85955,6ec72623107ba79d1013,testify,0.66666666666666663,0.16666666666666666,,,
85959,aa9e3050f659a12304f9,leanNot,0.20000000000000001,0.20000000000000001,,,
85966,5838a16065241dbac5c0,leanNot,1.0,0.0,,,
85977,a1eecb027847bde14c39,notTestify,0.33333333333333331,0.33333333333333331,,,
85999,5838a16065241dbac5c0,leanNot,1.0,0.0,,,
86094,27f8e58cde55ad77b181,leanNot,0.8571428571428571,0.42857142857142855,,,
86109,4145d11dc2d907d65191,testify,0.80000000000000004,0.80000000000000004,,,
86225,4145d11dc2d907d65191,leanNot,1.0,0.5,,,
86268,85b73c2a98a9f7bb1c11,testify,0.80000000000000004,0.80000000000000004,,,
86285,494b8e0bddf6f2913049,notTestify,0.2857142857142857,0.2857142857142857,,,
86294,494b8e0bddf6f2913049,notTestify,0.40000000000000002,0.40000000000000002,,,
86309,3a0fc2f445c859139034,notTestify,0.59999999999999998,0.80000000000000004,,,
86396,6296cb545ac1ccbbf973,notTestify,0.0,1.0,,,
86502,45485b57c694d373125b,testify,0.75,0.75,,,
86578,45485b57c694d373125b,notTestify,0.66666666666666663,0.66666666666666663,,,
86580,709872de0e851ea9ab07,notTestify,0.80000000000000004,0.20000000000000001,,,
86641,f4a0e7d9b6d386547825,notTestify,1.0,0.20000000000000001,,,
86744,4e144848a26906fc904a,notTestify,0.33333333333333331,1.0,,,
86817,45485b57c694d373125b,leanNot,0.83333333333333337,0.5,,,
86864,4222a280d596da74e4a0,leanNot,0.5,0.33333333333333331,,,
86976,5e51eaa52a0dcb567d23,testify,0.75,0.25,,,
86990,c2264eeb5702c3ec0c37,leanNot,0.0,0.20000000000000001,,,
86991,53d4147fbd88f6c9386a,leanNot,0.0,0.20000000000000001,,,
86997,c61016a745a3a152e30c,notTestify,0.0,1.0,,,
87027,2d57e15253f2f03ca89a,notTestify,0.16666666666666666,0.33333333333333331,,,
87037,2d57e15253f2f03ca89a,leanNot,0.33333333333333331,0.5,,,
87045,c61016a745a3a152e30c,leanNot,0.5,0.33333333333333331,,,
87098,a26c921acba903d054a6,notTestify,0.0,0.5,,,
87127,111e2419418ed843656b,testify,1.0,0.8571428571428571,,,
87204,b20022047854595faa64,notTestify,0.0,0.5,,,
87272,ea51e609013604aafa8a,notTestify,1.0,0.33333333333333331,,,
87348,5921d0218c5c50b96aac,notTestify,0.0,0.80000000000000004,,,
87354,5921d0218c5c50b96aac,leanNot,0.66666666666666663,0.5,,,
87518,2d76073cb632c0f82c2a,testify,1.0,0.66666666666666663,,,
87541,0abb4b28fc5ad510284b,notTestify,1.0,0.0,,,
87543,0abb4b28fc5ad510284b,notTestify,0.0,0.7142857142857143,,,
87552,e11c20acfdaacb233804,leanNot,1.0,0.14285714285714285,,,
87599,2d19a35b7454c3ab1623,testify,1.0,0.80000000000000004,,,
87690,2296e23ce85e387c91f4,testify,1.0,0.5,,,
87769,37f61d09e7e720254d22,leanNot,0.59999999999999998,0.59999999999999998,,,
87779,e54be18551c5f7c57382,testify,0.66666666666666663,0.33333333333333331,,,
87856,430bc619d75b3bd4c0bc,leanNot,0.0,0.0,,,
87900,6bdf6ea2ed6cee2cce26,leanNot,0.0,1.0,,,
87946,6bdf6ea2ed6cee2cce26,leanNot,0.0,1.0,,,
87978,ea51e609013604aafa8a,leanNot,1.0,1.0,,,
87980,ea51e609013604aafa8a,notTestify,1.0,0.5,,,
87985,fa5884705a102733a84f,notTestify,0.0,0.0,,,
87990,ea51e609013604aafa8a,testify,0.80000000000000004,0.40000000000000002,,,
88116,f931a1a527ef1741ed68,leanNot,0.5714285714285714,0.5714285714285714,,,
88162,47774b25e4a09287549d,testify,0.20000000000000001,0.40000000000000002,,,
88169,6c13e5d46bd390656665,leanNot,1.0,0.25,,,
88206,47774b25e4a09287549d,notTestify,0.0,0.8571428571428571,,,
88249,6c13e5d46bd390656665,testify,1.0,1.0,,,
88286,2ad6aad8d24d1b2e71a0,testify,0.0,0.80000000000000004,,,
88434,a49970708a47746e721a,testify,0.75,0.25,,,
88518,bb5c68b224408f6672b0,notTestify,0.42857142857142855,0.2857142857142857,,,
88537,787fc5412ad6aa74e180,testify,1.0,0.20000000000000001,,,
88587,c49c53a9d4f4ab9a0319,leanNot,0.0,0.0,,,
88596,a4a38004f3580038b0d8,testify,1.0,0.42857142857142855,,,
88632,0ba0afb66e7bd6b258ab,testify,0.59999999999999998,0.40000000000000002,,,
88668,157ed9f4504dc381932f,notTestify,1.0,0.40000000000000002,,,
88685,678ac450563aa5978af1,testify,1.0,0.7142857142857143,,,
88688,157ed9f4504dc381932f,notTestify,1.0,0.59999999999999998,,,
88794,daf1cf5a51dda23d2778,testify,0.5714285714285714,0.42857142857142855,,,
88820,9d2ab1761159ce159d34,leanNot,0.33333333333333331,0.5,,,
88837,2a45f69694b66fe52702,testify,1.0,0.75,,,
88947,6d81c73dccfd36d00ba5,notTestify,0.33333333333333331,0.5,,,
88950,6d81c73dccfd36d00ba5,leanNot,0.5,0.25,,,
88952,7e7e61eb1179912f7229,notTestify,0.59999999999999998,0.59999999999999998,,,
89025,b35607ba036a35dd477d,notTestify,0.0,0.59999999999999998,,,
89090,a7a00abf71a228ea4b38,leanNot,1.0,0.375,,,
89125,f5e5f3751b1b598ae795,notTestify,0.0,0.66666666666666663,,,
89170,e858ecb7444ba596adab,leanNot,0.59999999999999998,1.0,,,
89205,d3c1d3f5ff26daa5847d,leanNot,1.0,0.25,,,
89214,15572157a8552eea544e,notTestify,0.25,0.75,,,
89252,d3c1d3f5ff26daa5847d,notTestify,0.75,0.875,,,
89270,1000c2ab86236fc7e66e,notTestify,0.42857142857142855,0.5714285714285714,,,
89346,c9d7d3066cff0649e209,testify,0.59999999999999998,0.59999999999999998,,,
89356,228b5a4240e4da7fefe4,testify,0.66666666666666663,0.0,,,
89437,82e328847da4e5c4757b,leanNot,1.0,0.42857142857142855,,,
89464,95e76dd6a6a5067740ce,leanNot,0.7142857142857143,0.5714285714285714,,,
89470,95e76dd6a6a5067740ce,notTestify,0.0,1.0,,,
89497,7d3a22204e5c55e31317,testify,0.33333333333333331,0.66666666666666663,,,
89500,fd79771cf16a396ea70b,notTestify,0.80000000000000004,0.40000000000000002,,,
89555,fd79771cf16a396ea70b,testify,0.75,0.75,,,
89612,60073ec14498a2865078,testify,1.0,0.625,,,
89618,60073ec14498a2865078,leanNot,1.0,0.5,,,
89744,f54b02f105f48fa7b985,leanNot,0.80000000000000004,0.59999999999999998,,,
89749,95e76dd6a6a5067740ce,testify,1.0,0.2857142857142857,,,
89754,95e76dd6a6a5067740ce,notTestify,0.5,0.25,,,
89770,37878c885b3f460eaf64,testify,0.66666666666666663,0.5,,,
89798,aba78891d1c6c22a176a,testify,0.80000000000000004,0.40000000000000002,,,
89836,d1b91a9b4a2d71346f66,leanNot,0.0,0.40000000000000002,,,
89896,ae01d22bc9486b2b9ba7,testify,1.0,0.40000000000000002,,,
89975,4bd49871cc3337edad46,leanNot,0.8571428571428571,0.5714285714285714,,,
90033,e224e4fc47ca2c1c83ee,testify,1.0,0.25,,,
90067,6a87206c0e474ce6e5f6,notTestify,0.14285714285714285,0.2857142857142857,,,
90141,24ad0970845583059cb7,testify,0.59999999999999998,0.40000000000000002,,,
90214,e894b7de6f33570b6126,leanNot,0.40000000000000002,0.59999999999999998,,,
90229,837466b236300f9b1706,notTestify,0.66666666666666663,1.0,,,
90268,6af8ef67aedac0f4e832,leanNot,1.0,0.33333333333333331,,,
90274,6af8ef67aedac0f4e832,leanNot,1.0,1.0,,,
90296,d1ca31cfa9e96ae91161,leanNot,0.80000000000000004,0.59999999999999998,,,
90304,cfbedef8a4e3d6fbbbc8,leanNot,0.75,0.75,,,
90397,cfbedef8a4e3d6fbbbc8,leanNot,0.40000000000000002,0.40000000000000002,,,
90405,3a2b7cf6517e2989c3f4,leanNot,0.5,0.5,,,
90422,3843ba3225c2a4ff6f5c,testify,1.0,0.40000000000000002,,,
90447,7c9197c049ed5c10501b,testify,0.66666666666666663,0.33333333333333331,,,
