gameid,uid,age,gender,device,round,reactTime,nonword,justiceWord,correct,NumChars,accuracy,rounds,chain
73453,0633627066210afdb584,,,1,115,718,0,0,1,5,0.866666666667,15.0,353
73547,c0607cf2293dbe01d3ed,,,1,101,660,0,0,1,7,1.0,15.0,172
73547,c0607cf2293dbe01d3ed,,,1,102,583,0,0,1,6,1.0,15.0,172
73547,c0607cf2293dbe01d3ed,,,1,103,671,1,0,1,7,1.0,15.0,172
73547,c0607cf2293dbe01d3ed,,,1,104,597,0,0,1,7,1.0,15.0,172
73547,c0607cf2293dbe01d3ed,,,1,105,608,0,1,1,4,1.0,15.0,172
73547,c0607cf2293dbe01d3ed,,,1,106,469,0,0,1,5,1.0,15.0,172
73547,c0607cf2293dbe01d3ed,,,1,107,640,1,0,1,10,1.0,15.0,172
73547,c0607cf2293dbe01d3ed,,,1,108,565,1,0,1,7,1.0,15.0,172
73547,c0607cf2293dbe01d3ed,,,1,109,557,0,1,1,10,1.0,15.0,172
73547,c0607cf2293dbe01d3ed,,,1,110,492,0,1,1,5,1.0,15.0,172
73547,c0607cf2293dbe01d3ed,,,1,111,444,0,0,1,7,1.0,15.0,172
73547,c0607cf2293dbe01d3ed,,,1,112,505,1,0,1,6,1.0,15.0,172
73547,c0607cf2293dbe01d3ed,,,1,113,417,0,1,1,4,1.0,15.0,172
73547,c0607cf2293dbe01d3ed,,,1,114,562,1,0,1,7,1.0,15.0,172
73547,c0607cf2293dbe01d3ed,,,1,115,511,0,1,1,10,1.0,15.0,172
73686,db20122421b453063c33,,,1,101,1415,0,1,1,10,1.0,15.0,132
73686,db20122421b453063c33,,,1,102,509,1,0,1,5,1.0,15.0,132
73686,db20122421b453063c33,,,1,103,499,1,0,1,4,1.0,15.0,132
73686,db20122421b453063c33,,,1,104,535,1,0,1,5,1.0,15.0,132
73686,db20122421b453063c33,,,1,105,490,0,0,1,7,1.0,15.0,132
73686,db20122421b453063c33,,,1,106,552,0,0,1,5,1.0,15.0,132
73686,db20122421b453063c33,,,1,107,573,0,1,1,5,1.0,15.0,132
73686,db20122421b453063c33,,,1,108,563,0,0,1,7,1.0,15.0,132
73686,db20122421b453063c33,,,1,109,442,0,1,1,5,1.0,15.0,132
73686,db20122421b453063c33,,,1,110,451,0,1,1,5,1.0,15.0,132
73686,db20122421b453063c33,,,1,111,473,0,0,1,5,1.0,15.0,132
73686,db20122421b453063c33,,,1,112,589,1,0,1,8,1.0,15.0,132
73686,db20122421b453063c33,,,1,113,621,0,1,1,10,1.0,15.0,132
73686,db20122421b453063c33,,,1,114,571,1,0,1,5,1.0,15.0,132
73686,db20122421b453063c33,,,1,115,506,0,0,1,7,1.0,15.0,132
73710,b54bba93647f4d149a6e,3,1,1,101,828,0,1,1,10,0.866666666667,15.0,66
73710,b54bba93647f4d149a6e,3,1,1,102,1209,1,0,1,6,0.866666666667,15.0,66
73710,b54bba93647f4d149a6e,3,1,1,103,782,0,0,1,7,0.866666666667,15.0,66
73710,b54bba93647f4d149a6e,3,1,1,104,1411,1,0,1,7,0.866666666667,15.0,66
73710,b54bba93647f4d149a6e,3,1,1,105,672,1,0,1,4,0.866666666667,15.0,66
73710,b54bba93647f4d149a6e,3,1,1,106,571,0,0,0,6,0.866666666667,15.0,66
73710,b54bba93647f4d149a6e,3,1,1,107,677,0,0,1,6,0.866666666667,15.0,66
73710,b54bba93647f4d149a6e,3,1,1,108,905,1,0,1,8,0.866666666667,15.0,66
73710,b54bba93647f4d149a6e,3,1,1,109,896,0,0,0,7,0.866666666667,15.0,66
73710,b54bba93647f4d149a6e,3,1,1,110,576,0,1,1,4,0.866666666667,15.0,66
73710,b54bba93647f4d149a6e,3,1,1,111,669,0,1,1,5,0.866666666667,15.0,66
73710,b54bba93647f4d149a6e,3,1,1,112,766,0,0,1,7,0.866666666667,15.0,66
73710,b54bba93647f4d149a6e,3,1,1,113,579,1,0,1,5,0.866666666667,15.0,66
73710,b54bba93647f4d149a6e,3,1,1,114,702,0,1,1,9,0.866666666667,15.0,66
73710,b54bba93647f4d149a6e,3,1,1,115,558,0,1,1,5,0.866666666667,15.0,66
73711,8da30b1ecf285ec0fe17,4,1,1,101,191371,0,0,1,5,0.866666666667,15.0,15
73711,8da30b1ecf285ec0fe17,4,1,1,102,2260,0,1,1,9,0.866666666667,15.0,15
73711,8da30b1ecf285ec0fe17,4,1,1,103,898,0,0,1,6,0.866666666667,15.0,15
73711,8da30b1ecf285ec0fe17,4,1,1,104,670,0,0,1,6,0.866666666667,15.0,15
73711,8da30b1ecf285ec0fe17,4,1,1,105,1045,1,0,1,9,0.866666666667,15.0,15
73711,8da30b1ecf285ec0fe17,4,1,1,106,905,1,0,1,6,0.866666666667,15.0,15
73711,8da30b1ecf285ec0fe17,4,1,1,107,1832,0,1,1,10,0.866666666667,15.0,15
73711,8da30b1ecf285ec0fe17,4,1,1,108,692,1,0,0,6,0.866666666667,15.0,15
73711,8da30b1ecf285ec0fe17,4,1,1,109,997,0,0,1,6,0.866666666667,15.0,15
73711,8da30b1ecf285ec0fe17,4,1,1,110,848,0,1,1,4,0.866666666667,15.0,15
73711,8da30b1ecf285ec0fe17,4,1,1,111,1021,0,1,1,5,0.866666666667,15.0,15
73711,8da30b1ecf285ec0fe17,4,1,1,112,981,0,0,0,7,0.866666666667,15.0,15
73711,8da30b1ecf285ec0fe17,4,1,1,113,749,1,0,1,5,0.866666666667,15.0,15
73711,8da30b1ecf285ec0fe17,4,1,1,114,1134,1,0,1,7,0.866666666667,15.0,15
73711,8da30b1ecf285ec0fe17,4,1,1,115,525,0,1,1,4,0.866666666667,15.0,15
73729,9bba2b2565c516624bb7,3,0,1,101,1457,1,0,1,5,0.733333333333,15.0,464
73729,9bba2b2565c516624bb7,3,0,1,102,570,0,1,1,10,0.733333333333,15.0,464
73729,9bba2b2565c516624bb7,3,0,1,103,564,0,1,0,4,0.733333333333,15.0,464
73729,9bba2b2565c516624bb7,3,0,1,104,485,0,1,1,4,0.733333333333,15.0,464
